step,normalized_negative_elbo
0,9.670102068610985
1,7.208964749274507
2,10.840625558907584
3,6.338646197757046
4,6.184034240215882
5,5.943004912355788
6,5.629256162279333
7,4.591717209630498
8,5.015158658959951
9,3.2961401790773714
10,3.565958196814998
11,3.564961217775734
12,2.8442962199101967
13,3.323457862821256
14,2.807942499411789
15,3.3140923104659543
16,2.690258604326664
17,2.6119585944366746
18,2.6085358403855876
19,2.4266610042819714
20,2.38768966624998
21,2.3973525500991673
22,2.2200437872939753
23,2.2617487966623613
24,2.330268054289788
25,2.243039486945472
26,2.156895577899951
27,2.180033535013871
28,2.0457149407777764
29,2.1926358876948235
30,2.0204368943537694
31,2.0391719892241755
32,1.9781567789071914
33,1.9569081902894667
34,1.9658600582567654
35,2.0375349134640603
36,1.9786074594344405
37,2.047466664874646
38,1.8819400774673511
39,1.8065552371983387
40,1.919304853869548
41,1.840041211422752
42,1.8056007124134112
43,1.680242563813425
44,1.6780902434597424
45,1.58518829639591
46,1.747873398578653
47,1.7182148218020445
48,1.6644422287782465
49,1.7034686114447182
50,1.5970441931545496
51,1.6456161794118946
52,1.5547632400539162
53,1.5861710735680834
54,1.526034008330707
55,1.4517602235024265
56,1.4886252377551699
57,1.5384611341370678
58,1.5546361949075036
59,1.49285198605912
60,1.4099217642029214
61,1.4269832952178438
62,1.4330410171889871
63,1.4079921334135823
64,1.4758691520857397
65,1.496279201289791
66,1.3967599326100433
67,1.4699306692793297
68,1.423184396036434
69,1.4472914617227992
70,1.5072908366405504
71,1.3910675280470335
72,1.4340156772995063
73,1.4297108964772085
74,1.3862421066387112
75,1.3654822725696423
76,1.35947719689627
77,1.3551846490881945
78,1.6086937861918713
79,1.516641806290689
80,1.4597616153500825
81,1.376385037227926
82,1.4326932388000655
83,1.401301408744857
84,1.3895703227392173
85,1.3771354295088198
86,1.3872445294925424
87,1.3714866918454052
88,1.4199783745114525
89,1.4029392470126254
90,1.4505096925282221
91,1.3548841947139278
92,1.385913605185187
93,1.4238794504609262
94,1.3454045271953643
95,1.4144853316066701
96,1.371042872761233
97,1.3845778304794611
98,1.3913249948786717
99,1.3946273839725143
100,1.4168694593539397
101,1.4404129689261083
102,1.361607247611061
103,1.3827963184634757
104,1.3720447818935044
105,1.3945201262197433
106,1.3820780012035123
107,1.410562823758619
108,1.3989868405491248
